product name,product rate,product price,product link
HP 14s Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14s- DY2501TU Thin and Light Laptop,4.4,"₹41,890",www.flipkart.com/hp-14s-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-home-14s-dy2501tu-thin-light-laptop/p/itmdce0f13dd3a4e?pid=COMG2TFSNK3KRFPA&lid=LSTCOMG2TFSNK3KRFPAFSHCEC&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=ec0102ae-6e9b-489f-8193-ed4ea6a6aba0.COMG2TFSNK3KRFPA.SEARCH&ppt=None&ppn=None&ssid=faoogyoe400000001632257583793&qH=312f91285e048e09
DELL Inspiron Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) Inspiron 3501 Laptop,4.3,"₹39,890",www.flipkart.com/dell-inspiron-core-i3-10th-gen-4-gb-256-gb-ssd-windows-10-home-3501-laptop/p/itm997ad4a2b302f?pid=COMFYZC5RJ2TH2ZZ&lid=LSTCOMFYZC5RJ2TH2ZZ0DCXCR&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=ec0102ae-6e9b-489f-8193-ed4ea6a6aba0.COMFYZC5RJ2TH2ZZ.SEARCH&ppt=None&ppn=None&ssid=faoogyoe400000001632257583793&qH=312f91285e048e09
realme Book (Slim) Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) RMNB1002 Thin and Light Laptop,4.4,"₹56,999",www.flipkart.com/realme-book-slim-core-i5-11th-gen-8-gb-512-gb-ssd-windows-10-home-rmnb1002-thin-light-laptop/p/itm33d2663d94e5a?pid=COMG5YDPM8FZZWMQ&lid=LSTCOMG5YDPM8FZZWMQQUOXEB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=ec0102ae-6e9b-489f-8193-ed4ea6a6aba0.COMG5YDPM8FZZWMQ.SEARCH&ppt=None&ppn=None&ssid=faoogyoe400000001632257583793&qH=312f91285e048e09
Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15IML05 Thin and Light Laptop,4.1,"₹39,990",www.flipkart.com/lenovo-ideapad-3-core-i3-10th-gen-8-gb-1-tb-hdd-windows-10-home-15iml05-thin-light-laptop/p/itmb244d9bfb76d4?pid=COMG4WZ7UPV659QV&lid=LSTCOMG4WZ7UPV659QVYZAEMY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=ec0102ae-6e9b-489f-8193-ed4ea6a6aba0.COMG4WZ7UPV659QV.SEARCH&ppt=None&ppn=None&ssid=faoogyoe400000001632257583793&qH=312f91285e048e09
HP HP Pavilion Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14-dv0055TU Thin and Light Laptop,4.6,"₹65,990",www.flipkart.com/hp-pavilion-core-i5-11th-gen-16-gb-512-gb-ssd-windows-10-home-14-dv0055tu-thin-light-laptop/p/itm74f33aae040fe?pid=COMG38XK5USWFK7N&lid=LSTCOMG38XK5USWFK7NCTES6C&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=ec0102ae-6e9b-489f-8193-ed4ea6a6aba0.COMG38XK5USWFK7N.SEARCH&ppt=None&ppn=None&ssid=faoogyoe400000001632257583793&qH=312f91285e048e09
Lenovo IdeaPad Slim 3i (2021) Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14ITL6 Thin and Lig...,4.4,"₹45,990",www.flipkart.com/lenovo-ideapad-slim-3i-2021-core-i3-11th-gen-8-gb-512-gb-ssd-windows-10-home-14itl6-thin-light-laptop/p/itme8ab9fb1c9c56?pid=COMG36BS4RHFNJRM&lid=LSTCOMG36BS4RHFNJRMFGANZB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=ec0102ae-6e9b-489f-8193-ed4ea6a6aba0.COMG36BS4RHFNJRM.SEARCH&ppt=None&ppn=None&ssid=faoogyoe400000001632257583793&qH=312f91285e048e09
"Lenovo IdeaPad 3 Core i3 10th Gen - (4 GB/256 GB, NA SSD/Windows 10 Home) 15IML05 Thin and Light Lapto...",4.2,"₹37,990",www.flipkart.com/lenovo-ideapad-3-core-i3-10th-gen-4-gb-256-gb-na-ssd-windows-10-home-15iml05-thin-light-laptop/p/itm557913355ce02?pid=COMG4WZ7FBP4SDAA&lid=LSTCOMG4WZ7FBP4SDAAJQTXR0&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=ec0102ae-6e9b-489f-8193-ed4ea6a6aba0.COMG4WZ7FBP4SDAA.SEARCH&ppt=None&ppn=None&ssid=faoogyoe400000001632257583793&qH=312f91285e048e09
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 15ITL6 Thin and Light Laptop,4.4,"₹42,490",www.flipkart.com/lenovo-ideapad-3-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-home-15itl6-thin-light-laptop/p/itm4b58ecc1a12b1?pid=COMG4WZ7URTVTSDR&lid=LSTCOMG4WZ7URTVTSDREFEZ2C&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=ec0102ae-6e9b-489f-8193-ed4ea6a6aba0.COMG4WZ7URTVTSDR.SEARCH&ppt=None&ppn=None&ssid=faoogyoe400000001632257583793&qH=312f91285e048e09
DELL Inspiron Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 10) INSPIRON 3505 Laptop,4.1,"₹39,990",www.flipkart.com/dell-inspiron-ryzen-3-dual-core-3250u-8-gb-256-gb-ssd-windows-10-3505-laptop/p/itm38b0fdd717a7b?pid=COMG55HHTU9S3QSK&lid=LSTCOMG55HHTU9S3QSKDZWCUQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=ec0102ae-6e9b-489f-8193-ed4ea6a6aba0.COMG55HHTU9S3QSK.SEARCH&ppt=None&ppn=None&ssid=faoogyoe400000001632257583793&qH=312f91285e048e09
HP 15-ec1105AX Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce...,4.5,"₹59,990",www.flipkart.com/hp-15-ec1105ax-ryzen-5-hexa-core-4600h-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-gaming-laptop/p/itmf3409b87e17f7?pid=COMG3X8QGJMNXG3R&lid=LSTCOMG3X8QGJMNXG3RO9GEGS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=ec0102ae-6e9b-489f-8193-ed4ea6a6aba0.COMG3X8QGJMNXG3R.SEARCH&ppt=None&ppn=None&ssid=faoogyoe400000001632257583793&qH=312f91285e048e09
